北京烤鸭,běi jīng kǎo yā,,,,,
吵,chǎo,"ki, ",,好啦，这够<b>吵</b>了。,hǎo la ， zhè gòu chǎo le 。,"Now then, that's enough noise."
权利,quán lì,"Right, power, rights, entitle, ",,我们支持《<b>权利</b>法案》制定的呼吁。,wǒ men zhī chí 《 quán lì fǎ àn 》 zhì dìng de hū yù 。,We support the call for the enactment of a Bill of Rights.
学者,xué zhě,"scholar, academic, a man of letters, Scholastic, ",,他是个<b>学者</b>，一个真正博学的人。,tā shì gè xué zhě ， yí gè zhēn zhèng bó xué de rén 。,"He is a scholar, a genuinely learned man."
没办法,méi bàn fǎ,"Way, It can't be helped, can't do anything about it, No way, ",,但是<b>没办法</b>，算了吧。,dàn shì méi bàn fǎ ， suàn le ba 。,But no way. Forget it.
办,bàn,"office, office system, outstanding, ",,咱们其他时间再<b>办</b>这件事吧。,zán men qí tā shí jiān zài bàn zhè jiàn shì ba 。,Let's do it another time.
护照,hù zhào,"passport, safeguard, pbumport, pass, ",,这是你的<b>护照</b>。你可保管好了。,zhè shì nǐ de hù zhào 。 nǐ kě bǎo guǎn hǎo le 。,Here's your passport. Now keep it safe.
申请,shēn qǐng,"apply for, put in, apply for a position, ",,学生们<b>申请</b>某学院的入学许可。,xué shēng men shēn qǐng mǒu xué yuàn de rù xué xǔ kě 。,Students apply for admission to a particular college.
祝福,zhù fú,"Blessing, benediction, Greeting message, Wishes, ",,主教<b>祝福</b>（会众）。,zhǔ jiào zhù fú （ huì zhòng ）。,The bishop said the blessing.
仪式,yí shì,"ritual, Ceremony, rite, Puja, ",,所有当地的圣职人员都获邀参加这项<b>仪式</b>。,suǒ yǒu dāng dì de shèng zhí rén yuán dōu huò yāo cān jiā zhè xiàng yí shì 。,All the local clergy were asked to attend the ceremony.
承诺,chéng nuò,"Commitment, Promise, acceptance, ",,我们作了<b>承诺</b>要继续在一起工作。,wǒ men zuò le chéng nuò yào jì xù zài yì qǐ gōng zuò 。,We made a commitment to keep working together.
捣蛋,dǎo dàn,"Trick or treat, mischief, make trouble, mishief, ",,周一晚上是不给糖就<b>捣蛋</b>的时间！,zhōu yī wǎn shàng shì bù gěi táng jiù dǎo dàn de shí jiān ！,Monday night is trick-or-treat time!
数字,shù zì,"Numbers, digit, Figure, numerical digit, ",,我们谈论的是一个两三百的<b>数字</b>。,wǒ men tán lùn de shì yí gè liǎng sān bǎi de shù zì 。,We're talking about a figure in the low hundreds.
傍晚,bàng wǎn,"evening, dusk, sunset, late in the afternoon, ",,那<b>傍晚</b>的微风吹皱了水塘的表面。,nà bàng wǎn de wēi fēng chuī zhòu le shuǐ táng de biǎo miàn 。,The evening breeze ruffled the pond.
装饰,zhuāng shì,"decorate, decoration, dress up, adorn, ",,这个房间的<b>装饰</b>情趣高雅。,zhè gè fáng jiān de zhuāng shì qíng qù gāo yǎ 。,The room was decorated in exquisite taste.
万圣节,wàn shèng jié,"at Halloween, On Halloween, ",,<b>万圣节</b>是在十月三十一号。,wàn shèng jié shì zài shí yuè sān shí yī hào 。,Halloween is on October 31st.
服装,fú zhuāng,"Clothing, wardrobe, ",,他花了几百英镑买名牌<b>服装</b>。,tā huā le jǐ bǎi yīng bàng mǎi míng pái fú zhuāng 。,He splashed out hundreds of pounds on designer clothes.
用户,yòng hù,"user, consumer, customer, subscriber, ",,这个特色是为帮助没有经验的<b>用户</b>而设计的。,zhè gè tè sè shì wèi bāng zhù méi yǒu jīng yàn de yòng hù ér shè jì de 。,This feature is designed to aid inexperienced users.
组合,zǔ hé,"combination, combine, Composition, ",,全男性的<b>组合</b>不会被接纳。,quán nán xìng de zǔ hé bú huì bèi jiē nà 。,All-male groups will not be accepted.
偶像,ǒu xiàng,"idol, icon, joss, god, ",,这些广告帮助耐克公司成就了<b>偶像</b>地位。,zhè xiē guǎng gào bāng zhù nài kè gōng sī chéng jiù le ǒu xiàng dì wèi 。,The ads helped Nike to achieve iconic status.
商人,shāng rén,"merchant, dealer, Merchant, trader, ",,几个<b>商人</b>只好将就着坐在经济舱里。,jǐ gè shāng rén zhǐ hǎo jiāng jiù zhe zuò zài jīng jì cāng lǐ 。,Several businessmen had to slum it in economy class.
产生,chǎn shēng,"generate, Produce, come about, bring forth, ",,废物腐烂时会<b>产生</b>沼气。,fèi wù fǔ làn shí huì chǎn shēng zhǎo qì 。,"As the waste materials decompose, they produce methane gas."
心动,xīn dòng,"Tempting Heart, Beautiful, Heartbeat, Walking beside me, ",,我一时<b>心动</b>，给他打了电话。,wǒ yī shí xīn dòng ， gěi tā dǎ le diàn huà 。,I phoned him up on the spur of the moment.
正式,zhèng shì,"make a complete entry, Official, Formal, in due form, ",,肯尼迪没有接受过油漆工的<b>正式</b>培训。,kěn ní dí méi yǒu jiē shòu guò yóu qī gōng de zhèng shì péi xùn 。,Kennedy had no formal training as a decorator.
摘,zhāi,"Abstract, pick, pluck, II, ",,她弯下腰<b>摘</b>了一朵红玫瑰。,tā wān xià yāo zhāi le yī duǒ hóng méi guī 。,She bent to pick a red rose.
邀请,yāo qǐng,"Invitation, Invite, call for, ask, ",,他只<b>邀请</b>头等名流参加他的聚会。,tā zhǐ yāo qǐng tóu děng míng liú cān jiā tā de jù huì 。,He only invited A-list celebrities to his parties.
订,dìng,"reserve, order, DEPOSIT, contract, ",,欧盟对污染程度<b>订</b>下了严格的限制。,ōu méng duì wū rǎn chéng dù dìng xià le yán gé de xiàn zhì 。,The EU has set strict limits on pollution levels.
阶段,jiē duàn,"stage, phase, Plan, ",,这种产品仍处于研制<b>阶段</b>。,zhè zhǒng chǎn pǐn réng chǔ yú yán zhì jiē duàn 。,The product is still at a developmental stage.
情人节,qíng rén jié,"Give Me Your Love Tonight, A Pair of Failed Valentines, CarryKosten Extended Remix, ",,今天是<b>情人</b><b>节</b>，空气中弥漫着爱情的气息。,jīn tiān shì qíng rén jié ， kōng qì zhōng mí màn zhe ài qíng de qì xī 。,It's Valentine's Day and lurve is in the air.
